ConfigID,怪物ID,伴生怪物组ID,悬赏完成类型,affix,AbilityGroup,优先创生位置,等级,修正等级ID,城市列表,难度,限制时间,前置线索数量,[出现条件]1类型,[出现条件]2类型,Initial Pose,SuiteID,是否禁止闲逛,RouteID
10001,20020101,,,4011#4020#4032#4064,AbilityGroup_Reputation_Hunting_BowVulnerable,,1,1000,1#2,0,600,3,,,,,,
10002,20020101,,,4008#4017#4032#4064,AbilityGroup_Reputation_Hunting_SwordVulnerable,,1,1000,1#2,0,600,3,,,,,,
10003,20020101,,,4009#4016#4032#4064,AbilityGroup_Reputation_Hunting_CatalystVulnerable,,1,1000,1#2,0,600,3,,,,,,
10004,20020101,,,4010#4018#4032#4064,AbilityGroup_Reputation_Hunting_ClaymoreVulnerable,,1,1000,1#2,0,600,3,,,,,,
10005,20020101,,,4012#4019#4032#4064,AbilityGroup_Reputation_Hunting_PoleVulnerable,,1,1000,1#2,0,600,3,,,,,,
10006,21020101,,,4009#4020#4033#4064,AbilityGroup_Reputation_Hunting_BowVulnerable,,1,1000,1#2,0,600,3,,,,,,
10007,21020101,,,4012#4018#4033#4064,AbilityGroup_Reputation_Hunting_ClaymoreVulnerable,,1,1000,1#2,0,600,3,,,,,,
10008,21020101,,,4013#4019#4033#4064,AbilityGroup_Reputation_Hunting_PoleVulnerable,,1,1000,1#2,0,600,3,,,,,,
10009,21020201,,,4011#4016#4033#4064,AbilityGroup_Reputation_Hunting_CatalystVulnerable,,1,1000,1#2,0,600,3,,,,,,
10010,21020201,,,4008#4017#4033#4064,AbilityGroup_Reputation_Hunting_SwordVulnerable,,1,1000,1#2,0,600,3,,,,,,
10011,21020201,,,4010#4018#4033#4064,AbilityGroup_Reputation_Hunting_ClaymoreVulnerable,,1,1000,1#2,0,600,3,,,,,,
10012,21020301,,,4008#4018#4033#4064,AbilityGroup_Reputation_Hunting_ClaymoreVulnerable,,1,1000,2,0,600,3,,,,,,
10013,21020301,,,4011#4018#4033#4064,AbilityGroup_Reputation_Hunting_ClaymoreVulnerable,,1,1000,2,0,600,3,,,,,,
10014,22010101,,,4011#4027#4033#4064,,1,1,1000,1#2,0,600,3,,,,,,
10015,22010101,,,4010#4026#4033#4064,,1,1,1000,1#2,0,600,3,,,,,,
10016,22010101,,,4009#4028#4033#4064,,1,1,1000,1#2,0,600,3,,,,,,
10017,22010201,,,4008#4028#4033#4064,,,1,1000,1#2,0,600,3,,,,,,
10018,22010201,,,4011#4025#4033#4064,,,1,1000,1#2,0,600,3,,,,,,
10019,22010301,,,4008#4028#4033#4064,,,1,1000,1#2,0,600,3,,,,,,
10020,22010301,,,4011#4025#4033#4064,,,1,1000,1#2,0,600,3,,,,,,
13001,22010201,,,4010#4025#4033#4064,,,1,1003,3,0,600,,,,,,1,321300027
13002,22010401,,,4011#4027#4033#4064,,,1,1003,3,0,600,,,,,,1,321300028
13003,22010301,,,4009#4028#4033#4064,,,1,1003,3,0,600,,,,,,1,322000102
13004,21020201,,,4008#4029#4033#4064,,,1,1003,3,0,600,,,,,,1,322000102
13005,21020701,,,4012#4030#4033#4064,,,1,1003,3,0,600,,,,,,1,321200092
13006,21030601,,,4013#4026#4033#4064,,,1,1003,3,0,600,,,,,,1,322000112
